Record_ID,Date,Day,Area,Route,Transport_Mode,Hour,Minute,Time_Band,Passenger_Count,Delay_Minutes,Service_Frequency_Per_Hour,Distance_km,Occupancy_Rate,CO2_Reduction_kg,Satisfaction_Score
1165,2025-01-01,Wednesday,Central,R018,Metro,8,0,Morning Peak,3398,6.5,17,16.3,1.12,543.7,78.1
849,2025-01-01,Wednesday,West,R071,Shared Mobility,9,0,Morning Peak,533,4.9,13,17.2,0.42,26.6,80.3
1029,2025-01-01,Wednesday,South,R003,Bus,9,45,Morning Peak,1655,8.6,9,10.8,0.72,198.6,73.9
1988,2025-01-01,Wednesday,South,R064,Bus,10,15,Morning Peak,553,7.5,11,24.1,0.64,66.4,82.3
4192,2025-01-01,Wednesday,South,R020,Tram,10,45,Morning Peak,682,2.1,18,12.2,0.58,95.5,74.7
678,2025-01-01,Wednesday,West,R060,Bus,11,0,Midday,881,8.7,11,23.0,0.66,105.7,65.0
2011,2025-01-01,Wednesday,Central,R070,Tram,12,45,Midday,782,6.4,12,3.0,0.63,109.5,80.2
649,2025-01-01,Wednesday,Central,R071,Bus,16,0,Midday,1460,8.8,9,21.3,0.79,175.2,72.4
2071,2025-01-01,Wednesday,Central,R025,Shared Mobility,17,0,Evening Peak,383,9.4,10,22.5,0.42,19.2,69.1
5185,2025-01-01,Wednesday,Central,R080,Bus,17,0,Evening Peak,974,8.7,8,18.4,0.59,116.9,73.1
3072,2025-01-01,Wednesday,East,R070,Bus,18,0,Evening Peak,1120,6.0,10,26.9,0.68,134.4,75.8
3276,2025-01-01,Wednesday,West,R057,Bus,20,15,Late Evening,608,6.2,16,5.9,0.72,73.0,72.6
447,2025-01-01,Wednesday,North,R026,Rail,20,30,Late Evening,625,0.1,18,6.6,0.62,112.5,88.5
756,2025-01-01,Wednesday,South,R027,Metro,20,30,Late Evening,1645,3.7,16,20.2,0.8,263.2,78.2
992,2025-01-01,Wednesday,West,R062,Rail,22,15,Late Evening,689,6.0,11,10.1,0.62,124.0,74.7
3581,2025-01-01,Wednesday,West,R015,Bus,23,45,Late Evening,637,6.3,15,24.7,0.72,76.4,72.3
5357,2025-01-02,Thursday,South,R044,Bus,6,45,Early Morning,365,5.6,9,2.5,0.62,43.8,74.4
5155,2025-01-02,Thursday,Central,R069,Cycling,8,15,Morning Peak,835,5.9,13,2.9,0.56,75.1,87.3
3331,2025-01-02,Thursday,East,R070,Shared Mobility,8,45,Morning Peak,346,6.6,10,15.5,0.38,17.3,77.1
4250,2025-01-02,Thursday,North,R076,Cycling,9,0,Morning Peak,721,4.3,14,13.8,0.53,64.9,76.9
3153,2025-01-02,Thursday,East,R012,Metro,9,15,Morning Peak,2005,6.0,17,26.7,0.92,320.8,74.7
207,2025-01-02,Thursday,Central,R073,Bus,9,30,Morning Peak,1308,7.3,12,3.4,0.8,157.0,66.7
64,2025-01-02,Thursday,East,R036,Bus,10,0,Morning Peak,1004,7.8,9,3.0,0.69,120.5,65.5
1949,2025-01-02,Thursday,East,R067,Rail,12,45,Midday,1836,5.4,15,9.8,0.71,330.5,72.4
2911,2025-01-02,Thursday,East,R012,Rail,12,45,Midday,1332,6.5,12,14.7,0.82,239.8,86.1
4759,2025-01-02,Thursday,West,R016,Bus,13,15,Midday,652,6.5,7,4.3,0.68,78.2,73.3
1290,2025-01-02,Thursday,South,R042,Cycling,15,30,Midday,347,4.0,14,14.6,0.45,31.2,88.1
264,2025-01-02,Thursday,Central,R048,Tram,16,0,Midday,939,6.5,10,8.2,0.64,131.5,84.3
1824,2025-01-02,Thursday,Central,R037,Bus,16,15,Midday,1648,11.2,4,9.0,0.83,197.8,61.3
4324,2025-01-02,Thursday,West,R064,Bus,17,30,Evening Peak,2319,7.0,10,9.3,0.91,278.3,70.7
2174,2025-01-02,Thursday,Central,R053,Bus,21,45,Late Evening,548,7.8,13,7.1,0.69,65.8,65.3
3770,2025-01-03,Friday,South,R010,Bus,8,15,Morning Peak,1245,7.9,16,12.1,0.68,149.4,73.7
4206,2025-01-03,Friday,West,R007,Bus,8,30,Morning Peak,1277,9.9,9,5.6,0.74,153.2,66.2
1865,2025-01-03,Friday,South,R053,Cycling,8,45,Morning Peak,989,1.1,20,8.8,0.56,89.0,86.5
2125,2025-01-03,Friday,South,R051,Rail,9,30,Morning Peak,938,9.1,5,16.9,0.71,168.8,67.7
896,2025-01-03,Friday,Central,R026,Tram,10,0,Morning Peak,429,2.5,16,6.7,0.64,60.1,76.9
4688,2025-01-03,Friday,South,R019,Shared Mobility,10,45,Morning Peak,303,4.8,15,11.8,0.41,15.2,71.2
4132,2025-01-03,Friday,South,R074,Shared Mobility,11,0,Midday,369,1.1,20,3.3,0.45,18.4,79.9
2732,2025-01-03,Friday,West,R041,Bus,11,15,Midday,672,3.6,14,2.5,0.68,80.6,83.4
2678,2025-01-03,Friday,Central,R058,Metro,12,15,Midday,1263,3.1,16,4.6,0.78,202.1,71.6
2322,2025-01-03,Friday,North,R071,Cycling,12,30,Midday,153,0.0,14,8.1,0.46,13.8,82.0
1519,2025-01-03,Friday,North,R065,Cycling,12,45,Midday,496,0.0,19,21.6,0.44,44.6,85.4
2658,2025-01-03,Friday,South,R051,Metro,13,0,Midday,1126,0.0,19,5.1,0.81,180.2,76.1
4490,2025-01-03,Friday,South,R027,Tram,14,0,Midday,605,1.4,16,9.4,0.64,84.7,72.3
5525,2025-01-03,Friday,East,R035,Bus,18,15,Evening Peak,1458,10.8,4,13.4,0.74,175.0,69.7
1578,2025-01-03,Friday,West,R074,Tram,19,0,Evening Peak,458,8.3,11,20.8,0.61,64.1,67.5
3931,2025-01-03,Friday,Central,R048,Bus,19,15,Evening Peak,313,0.9,13,23.8,0.65,37.6,69.4
4846,2025-01-03,Friday,South,R010,Cycling,20,0,Late Evening,273,2.9,21,19.3,0.45,24.6,89.0
326,2025-01-04,Saturday,Central,R013,Bus,9,0,Morning Peak,1192,6.2,13,21.2,0.79,143.0,73.4
3078,2025-01-04,Saturday,West,R001,Bus,10,0,Morning Peak,521,7.7,17,24.6,0.55,62.5,65.5
